[rosmaster.master][INFO] 2021-02-16 12:28:35,592: +SERVICE [/rosapi/set_param] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:28:35,597: +SERVICE [/rosapi/get_param] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:28:35,602: +SERVICE [/rosapi/has_param] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:28:35,607: +SERVICE [/rosapi/search_param] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:28:35,613: +SERVICE [/rosapi/delete_param] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:28:35,618: +SERVICE [/rosapi/get_param_names] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:28:35,624: +SERVICE [/rosapi/get_time] /rosapi http://ip-172-31-16-155:46774/
[rosmaster.master][INFO] 2021-02-16 12:29:05,697: +PUB [/rosout] /marker_publisher http://ip-172-31-16-155:46782/
[rosmaster.master][INFO] 2021-02-16 12:29:05,702: +SERVICE [/marker_publisher/get_loggers] /marker_publisher http://ip-172-31-16-155:46782/
[rosmaster.master][INFO] 2021-02-16 12:29:05,707: +SERVICE [/marker_publisher/set_logger_level] /marker_publisher http://ip-172-31-16-155:46782/
[rosmaster.master][INFO] 2021-02-16 12:29:05,714: +PUB [/visualization_marker] /marker_publisher http://ip-172-31-16-155:46782/
[rosmaster.master][INFO] 2021-02-16 12:29:05,726: publisherUpdate[/rosout] -> http://ip-172-31-16-155:42333/ ['http://ip-172-31-16-155:40909/', 'http://ip-172-31-16-155:36646/', 'http://ip-172-31-16-155:46774/', 'http://ip-172-31-16-155:46782/']
[rosmaster.master][INFO] 2021-02-16 12:29:05,732: publisherUpdate[/rosout] -> http://ip-172-31-16-155:42333/ ['http://ip-172-31-16-155:40909/', 'http://ip-172-31-16-155:36646/', 'http://ip-172-31-16-155:46774/', 'http://ip-172-31-16-155:46782/']: sec=0.00, result=[1, '', 0]
